2024 Date,Name or Description,Location,Address,City,Appearence only,Information distribution only,Table Event,Presentation,Education segment on TV,Geocoded_Address,X,Y
4-Sep,Senior center,Reedley Senior Center,100 N. East Ave,"Reedley, CA 93654",,1.0,,,,"100 N East St, Reedley, California, 93654",-119.444151771927,36.597947337012
4-Sep,Senior center,Selma Senior Center,2301 Selma St,"Selma, CA 93662",,1.0,,,,"2301 Selma St, Selma, California, 93662",-119.609194798213,36.568315926273
6-Sep,Senior center,Sierra Palace for Elderly,607 E Sierra Ave,"Fresno, CA 93710",,1.0,,,,"607 E Sierra Ave, Fresno, California, 93710",-119.776483168721,36.830183764375
8-Sep,National Night Out,John F Kennedy Park,1687 Tucker,"Sanger, CA 93657",,,1.0,,,"1687 Tucker Ave, Sanger, California, 93657",-119.545348217525,36.693565451802
11-Sep,Pinedale Food distribution,Fresno EOC Food Distribution,7435 N Ingram Ave,"Fresno, CA 93711",,1.0,,,,"7435 N Ingram Ave, Fresno, California, 93711",-119.801879916248,36.843553570492
11-Sep,East Fresno Rotarty Meeting,The Palms Restaurant,"7550 N Palm Ave, Suite 200","Fresno, CA 93711",,,,1.0,,"7550 N Palm Ave, Fresno, California, 93711",-119.808083949521,36.846852729491
13-Sep,KMO,Central Valley Today Televison Broadcast,5035 E McKinley Ave,"Fresno, CA 93727",,,,,1.0,"5035 E Mckinley Ave, Fresno, California, 93727",-119.72598907525,36.765273593723
13-Sep,Philanthropic Educational Organization Womens group,The Terraces at San Joaquin Gardens,5533 N Fresno,"Fresno, CA 93710",,,,1.0,,"5533 N Fresno St, Fresno, California, 93710",-119.781366465512,36.818044673101
14-Sep,National Night Out,Earl Ruth Park,601 1st St.,"Parlier, CA 93648",,,1.0,,,"601 1st St, Parlier, California, 93648",-119.52559999944,36.612138087376
9/12-9/13,"Door to door (122133-SR655, 9/10/2024)",Residentail Neighborhood,1944 Minarets Ln,"Clovis, CA 93611",,1.0,,,,"1944 Minarets Ln, Clovis, California, 93611",-119.68071749419,36.843900078369
17-Sep,Orange Cove Food distribution,Fresno EOC Food Distribution,1705 S Anchor Ave,"Orange Cove, CA 93646",,1.0,,,,"1705 Anchor Ave, Orange Cove, California, 93646",-119.322752644924,36.613013137417
20-Sep,Starry night event,Brentlinger Park,1325 Stillman St,"Selma, CA 93662",,,1.0,,,"1325 Stillman St, Selma, California, 93662",-119.602968804353,36.572528796537
21-Sep,National Night Out,David McDonald Park,85 N Temperance Ave,"Clovis, CA 93611",,,1.0,,,"85 Temperance Ave, Clovis, California, 93611",-119.663349771715,36.829978240109
24-Sep,Indoor inspection,Central Valley Today Televison Broadcast,5035 E McKinley Ave,"Fresno, CA 93727",,,,,1.0,"5035 E Mckinley Ave, Fresno, California, 93727",-119.72598907525,36.765273593723
25-Sep,Riverdale Food distribution,Fresno EOC Food Distribution,16704 S. Jameson Ave,"Riverdale, CA 93656",,1.0,,,,"16704 S Jameson Ave, Riverdale, California, 93656",-119.989793384443,36.491199357664
30-Sep,"Door to door (122133-SR657, 9/27/2024)",The Fountains at Alluvial,1650 Alluvial Ave,"Clovis, CA 93611",,1.0,,,,"1650 Alluvial Ave, Clovis, California, 93611",-119.685609256702,36.844698538466
1-Oct,National Night Out,Pioneer Park,845 F St,"Reedley, CA 93654",,,1.0,,,"845 F St, Reedley, California, 93654",-119.452319852753,36.599483153131
3-Oct,Door to door,Residentail Neighborhood,1957 Goshen Ave,"Clovis, CA 93611",,1.0,,,,"1957 Goshen Ave, Clovis, California, 93611",-119.680716153086,36.84973300288
